epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2334.38,1.59448,1.72547,1.83025,0.46306,0.89724,0.51781,0.31902,1.33215,2.0827,2.01558,0.000549692,0.000549692,0.000549692
2,4208.4,1.35156,1.23353,1.62118,0.4565,0.90444,0.5347,0.32093,1.35134,2.67861,2.1065,0.001078,0.001078,0.001078
3,42923.6,1.31855,1.17112,1.59879,0.49001,0.9672,0.53123,0.32802,1.42494,1.39034,2.09588,0.0015788,0.0015788,0.0015788
4,73233.6,1.23667,1.10401,1.53479,0.48343,1,0.5448,0.38807,0.97087,1.1715,1.51923,0.00154323,0.00154323,0.00154323
5,75406.6,1.16401,1.05664,1.46862,0.49923,1,0.57106,0.44755,0.94218,1.01955,1.34965,0.00150197,0.00150197,0.00150197
6,77374,1.12675,1.06147,1.45423,0.49169,1,0.52736,0.37203,1.05371,0.99127,1.47227,0.00146071,0.00146071,0.00146071
7,79275.8,1.04347,0.99653,1.39015,0.49971,1,0.52766,0.45127,0.62239,0.87899,1.15751,0.00141945,0.00141945,0.00141945
8,81228.4,1.02958,0.97161,1.3718,0.49958,1,0.55169,0.42713,0.90966,0.90179,1.34141,0.00137819,0.00137819,0.00137819
9,83240,1.01135,0.98118,1.36554,0.49689,1,0.54788,0.44052,0.81891,0.90619,1.20793,0.00133693,0.00133693,0.00133693
10,85029.3,0.99227,0.9642,1.35682,0.49975,1,0.61986,0.52733,0.64157,0.84212,1.14437,0.00129568,0.00129568,0.00129568
11,86843,0.96121,0.95394,1.32361,0.49817,1,0.53912,0.43201,0.88484,0.9447,1.2372,0.00125442,0.00125442,0.00125442
12,88632.3,0.90356,0.93576,1.29017,0.49969,1,0.56717,0.50373,0.60387,0.85789,1.08642,0.00121316,0.00121316,0.00121316
13,90397.2,0.92683,0.92288,1.30795,0.49942,1,0.53145,0.41979,0.84641,0.88552,1.1936,0.0011719,0.0011719,0.0011719
14,92177.2,0.90988,0.92674,1.2927,0.49948,1,0.59268,0.49825,0.75268,0.91067,1.15085,0.00113064,0.00113064,0.00113064
15,93954.6,0.88907,0.91413,1.27655,0.49958,1,0.55015,0.46534,0.6565,0.84798,1.04809,0.00108938,0.00108938,0.00108938
16,95744,0.85667,0.8982,1.24939,0.49954,1,0.57874,0.47125,0.74419,0.84513,1.12314,0.00104813,0.00104813,0.00104813
17,97510.2,0.87733,0.90243,1.27208,0.50217,1,0.56597,0.50957,0.5137,0.82266,0.97191,0.00100687,0.00100687,0.00100687
18,99607.7,0.84285,0.89583,1.24847,0.49983,1,0.58218,0.52038,0.50633,0.80954,0.90967,0.00096561,0.00096561,0.00096561
19,101500,0.82294,0.89705,1.2366,0.49966,1,0.56176,0.46528,0.73504,0.83763,1.07634,0.000924352,0.000924352,0.000924352
20,103325,0.82681,0.88291,1.25415,0.49966,1,0.5781,0.49615,0.62456,0.84938,1.00919,0.000883093,0.000883093,0.000883093
21,105086,0.82021,0.88928,1.22077,0.50228,1,0.57991,0.48233,0.69952,0.83258,1.0652,0.000841835,0.000841835,0.000841835
22,106844,0.81096,0.8709,1.22056,0.49965,1,0.59471,0.51126,0.61743,0.82903,0.99686,0.000800577,0.000800577,0.000800577
23,108762,0.80676,0.87081,1.21759,0.50944,0.99448,0.62006,0.55177,0.49695,0.79005,0.92674,0.000759318,0.000759318,0.000759318
24,110661,0.79266,0.86103,1.22758,0.49972,1,0.57449,0.50669,0.54979,0.82745,0.88463,0.00071806,0.00071806,0.00071806
25,112604,0.78622,0.85358,1.21357,0.4994,1,0.65093,0.58254,0.49684,0.84457,0.93237,0.000676802,0.000676802,0.000676802
26,114448,0.78187,0.84072,1.20379,0.62772,0.84706,0.77345,0.66627,0.54657,0.76297,0.92735,0.000635544,0.000635544,0.000635544
27,116244,0.76124,0.80949,1.19727,0.66754,0.90597,0.8608,0.73578,0.5655,0.82508,0.95287,0.000594286,0.000594286,0.000594286
28,118130,0.75289,0.74494,1.19292,0.76215,0.9614,0.97186,0.86381,0.50653,0.60983,0.89515,0.000553027,0.000553027,0.000553027
29,120078,0.74643,0.68073,1.17923,0.75924,0.94797,0.97875,0.86956,0.52114,0.66635,0.88995,0.000511769,0.000511769,0.000511769
30,122260,0.75226,0.66456,1.18654,0.93091,0.93566,0.9824,0.86646,0.53702,0.43524,0.89061,0.000470511,0.000470511,0.000470511
31,124231,0.68813,0.48454,1.31748,0.9521,0.96159,0.98491,0.90787,0.41838,0.36777,0.83151,0.000429253,0.000429253,0.000429253
32,126034,0.64082,0.41131,1.27849,0.98234,0.98068,0.99118,0.89,0.50131,0.28019,0.85443,0.000387994,0.000387994,0.000387994
33,127779,0.63888,0.39354,1.28313,0.97796,0.97729,0.98814,0.91366,0.43658,0.30608,0.83778,0.000346736,0.000346736,0.000346736
34,129714,0.57593,0.3461,1.22144,0.9827,0.98718,0.99279,0.93695,0.37646,0.23465,0.73802,0.000305478,0.000305478,0.000305478
35,131696,0.57042,0.33222,1.22581,0.96957,0.97587,0.99162,0.95219,0.32998,0.23913,0.75092,0.00026422,0.00026422,0.00026422
36,133671,0.57407,0.31428,1.2414,0.99363,0.99724,0.99352,0.92961,0.35158,0.21149,0.72224,0.000222961,0.000222961,0.000222961
37,135638,0.53828,0.29012,1.20257,0.98599,0.99144,0.99146,0.93275,0.35954,0.21586,0.73073,0.000181703,0.000181703,0.000181703
38,137597,0.50752,0.27789,1.18033,0.98707,0.993,0.99319,0.96188,0.30133,0.19134,0.68078,0.000140445,0.000140445,0.000140445
39,139463,0.51606,0.26426,1.1948,0.99652,0.99724,0.995,0.96663,0.29742,0.16962,0.68061,9.91865e-05,9.91865e-05,9.91865e-05
40,141320,0.50045,0.24987,1.18019,0.99693,0.99724,0.995,0.96438,0.29153,0.17195,0.67101,5.79283e-05,5.79283e-05,5.79283e-05
